sourceNodeIndex,targetNodeIndex,weight
829,1031,28.470581
829,1318,43.846886
829,917,0.0
829,564,22.384188
829,345,0.0
829,499,36.35115
829,25,0.0
829,492,0.0
829,62,0.0
829,215,36.35115
286,399,9.983391
286,1089,13.385698
286,1165,13.173022
286,475,9.983391
286,361,13.385698
286,1176,0.0
286,622,10.503135
286,1202,10.503135
286,504,0.0
1070,1104,14.697262
1070,1093,14.697262
1070,1325,0.0
1070,1115,0.0
1070,471,0.0
1070,367,25.550894
1070,573,31.68141
206,1448,17.57613
206,816,0.0
206,284,0.0
206,469,33.243095
206,682,0.0
1040,1283,38.90859
1040,600,38.90859
1040,374,0.0
1040,952,48.99326
188,837,23.626207
188,1193,0.0
188,897,0.0
188,597,23.626207
188,385,17.999811
188,1327,34.76545
188,1202,35.714577
188,980,17.999811
188,504,21.134731
188,375,17.999811
188,124,35.714577
188,55,23.626207
145,519,34.23342
145,1253,34.23342
145,824,27.80373
145,1387,26.729424
145,1196,27.80373
145,1461,0.69799954
399,1089,19.60003
399,1165,13.385698
399,475,0.0
399,1176,9.983391
399,622,13.385698
399,286,9.983391
399,361,19.60003
1459,619,30.793627
1459,827,30.366158
223,905,0.0
223,1259,0.0
223,1352,0.0
223,172,12.259618
609,649,0.0
609,762,0.0
609,1164,0.0
609,118,0.0
609,335,0.0
58,1178,0.0
58,118,0.0
58,649,0.0
58,89,0.0
58,2,0.0
1089,1165,9.983376
1089,1176,13.385698
1089,286,13.385698
1089,399,19.60003
1089,475,19.60003
1089,361,0.0
1089,622,9.983376
872,1100,18.3191
872,1256,0.0
872,1185,0.0
872,1009,46.335674
872,1365,0.0
872,1220,0.0
872,1182,18.3191
872,1145,22.937311
872,1307,46.335674
872,1308,22.937311
872,226,42.333973
872,34,19.809755
872,660,49.72267
872,6,42.512074
872,638,49.72267
872,99,36.63825
533,1095,0.0
533,1182,26.55292
533,226,0.0
533,88,26.55292
0,503,32.568485
0,817,25.022884
0,412,40.341637
0,207,41.56039
0,1200,0.0
0,457,0.0
0,1183,25.022884
0,1411,25.022884
0,693,40.341637
539,555,0.0
539,730,0.0
539,1405,0.0
539,320,40.30299
1107,1197,7.9318767
1107,615,19.849548
1107,654,0.0
1107,556,0.0
808,1205,44.13137
808,1026,0.0
808,1075,0.0
808,1081,10.956699
808,584,10.956699
808,805,44.13137
808,448,44.13137
808,306,0.0
808,15,44.13137
808,379,0.0
1420,1440,0.0
1420,1108,46.536064
1420,606,0.0
1420,50,0.0
1420,65,12.434525
935,1111,0.0
935,1275,37.64485
935,295,0.0
935,695,0.0
935,483,14.028037
935,637,0.0
935,788,37.64485
935,177,0.0
935,720,21.463709
382,1292,0.0
382,907,17.738829
382,77,0.0
382,40,15.6081915
1165,1176,39.691643
1165,286,13.173022
1165,399,13.385698
1165,1089,9.983376
1165,475,13.385698
1165,363,9.983119
1165,361,9.983376
1165,622,0.0
118,609,0.0
118,649,0.0
118,762,0.0
118,58,0.0
118,89,0.0
1211,1380,0.0
1211,1442,0.0
1211,642,0.0
1211,961,18.109997
1211,802,42.56165
1211,1009,18.109997
1211,861,0.0
1211,563,0.0
1211,874,0.0
1205,107,0.0
1205,808,44.13137
1205,805,0.0
1205,448,0.0
1205,306,0.0
1205,1081,0.0
1205,15,0.0
1205,1199,13.467585
1205,756,13.467585
1205,379,44.13137
